stamp,id,x,y,z,intensity,time,ring
1782434556.015004,1,-0.387612,-0.792841,1.595990,219.000000,2.009827,1
1782434556.015004,1,-0.409484,-0.843120,1.596330,218.000000,2.009850,1
1782434556.015004,1,-0.431676,-0.894519,1.595691,215.000000,2.009873,1
1782434556.015004,1,-0.453693,-0.946036,1.592342,212.000000,2.009897,1
1782434556.015004,1,-0.475992,-0.998607,1.587923,212.000000,2.009920,1
1782434556.015004,1,-0.500659,-1.056588,1.588737,211.000000,2.009943,1
1782434556.015004,1,-0.525447,-1.115374,1.587293,224.000000,2.009966,1
1782434556.015004,1,-0.550322,-1.174897,1.583548,225.000000,2.009989,1
1782434556.015004,1,-0.577798,-1.240495,1.584195,223.000000,2.010012,1
1782434556.015004,1,-0.602800,-1.301446,1.575583,219.000000,2.010035,1
1782434556.015004,1,-0.633417,-1.375016,1.578084,218.000000,2.010058,1
1782434556.015004,1,-0.664214,-1.449692,1.577437,213.000000,2.010082,1
1782434556.015004,1,-0.695141,-1.525375,1.573589,211.000000,2.010105,1
1782434556.015004,1,-0.729295,-1.608837,1.573032,218.000000,2.010128,1
1782434556.015004,1,-0.766469,-1.699753,1.574485,216.000000,2.010151,1
1782434556.015004,1,-0.800561,-1.784757,1.565674,212.000000,2.010174,1
1782434556.015004,1,-0.834991,-1.871341,1.553687,208.000000,2.010197,1
1782434556.015004,1,-0.745037,-1.680844,1.325732,205.000000,2.010220,1
1782434556.015004,1,-0.925742,-2.096223,1.553849,202.000000,2.010243,1
1782434556.015004,1,-0.973204,-2.215066,1.548795,199.000000,2.010267,1
1782434556.015004,1,-1.026980,-2.349448,1.547143,190.000000,2.010290,1
1782434556.015004,1,-1.084367,-2.493434,1.543735,197.000000,2.010313,1
1782434556.015004,1,-1.145360,-2.647160,1.537800,187.000000,2.010336,1
1782434556.015004,1,-0.669328,-1.562293,0.868783,112.000000,2.010359,1
1782434556.015004,1,-1.290670,-3.013473,1.529662,183.000000,2.010382,1
1782434556.015004,1,-0.662182,-1.562628,0.760444,118.000000,2.010405,1
1782434556.015004,1,-0.659308,-1.564349,0.708853,117.000000,2.010428,1
1782434556.015004,1,-0.655849,-1.564655,0.657734,118.000000,2.010452,1
1782434556.015004,1,-0.655139,-1.571435,0.609966,121.000000,2.010475,1
1782434556.015004,1,-0.643544,-1.552274,0.554180,225.000000,2.010498,1
1782434556.015004,1,-0.635081,-1.540374,0.502600,162.000000,2.010521,1
1782434556.015004,1,-0.632784,-1.543172,0.456435,214.000000,2.010544,1
1782434556.015004,1,-0.633726,-1.553821,0.412639,154.000000,2.010567,1
1782434556.015004,1,-0.599167,-1.478006,0.350858,110.000000,2.010590,1
1782434556.015004,1,-0.609613,-1.511644,0.313570,96.000000,2.010613,1
1782434556.015004,1,-0.324088,0.345784,0.055356,210.000000,2.012105,2
